Language,Points,Year,Artist,Country,Rank,Song,id
English,,2018,Aisel,Azerbaijan,,X My Heart,1P5JWcZw3zATCqSKMdHLKv
English,,2018,Ari Ólafsson,Iceland,,Our Choice,2he61MJyMIOj8enfDmLxRI
Albanian,,2018,Eugent Bushpepa,Albania,,Mall,6vGLWavGUuAs9vpZyprUl0
English,,2018,Sennek,Belgium,,A Matter of Time,2776nsJOmk3psqGSocg6lK
English,,2018,Mikolas Josef,Czech Republic,,Lie to Me,6zBdVVksaTQeAzwfszbovz
English,,2018,Ieva Zasimauskaitė,Lithuania,,When We're Old,5vFiuwlEfEcEwPvS5e1icS
English,,2018,Netta,Israel,,Toy,7vuTcvFnvlqWlWb4u60nvY
English,,2018,Alekseev,Belarus,,Forever,685UJZnU0CAi4ECP9AOFzn
Italian,,2018,Elina Nechayeva,Estonia,,La forza,32GxSibwrYAGW4ZZ45CGHA
English,,2018,Equinox,Bulgaria,,Bones,4Xry1LRtOLdzFPFBfTISMU
English,,2018,Eye Cue,Macedonia,,Lost and Found,5pr2apsKCrMhoAwQ5ESJym
English,,2018,Franka,Croatia,,Crazy,3C0Jl08p5aXD0MckMqBFmx
English,,2018,Cesár Sampson,Austria,,Nobody but You,41gxXNTTz6LNVY2LIKoRHn
Greek,,2018,Yianna Terzi,Greece,,Oniro mou,6fbY4PL1W2ew1M3SwCHL2j
English,,2018,Saara Aalto,Finland,,Monsters,0JGbU6NlewrskD138Wq04b
Armenian,,2018,Sevak Khanagyan,Armenia,,Qami,2zO4FXoBn1hseWJmjzGpcM
English,,2018,Zibbz,Switzerland,,Stones,4fYKSTyUG6Yy6Kmem8LbLI
English,,2018,Ryan O'Shaughnessy,Ireland,,Together,7jYLCd1CafwKxbuXgRc2rs
English,,2018,Eleni Foureira,Cyprus,,Fuego,22ppznuzVF9LKamaaqMMqu
English,,2018,Alexander Rybak,Norway,,That's How You Write a Song,4RgfBil6aN3o26M8t3KjGH
English,,2018,The Humans,Romania,,Goodbye,6uUkAk16Tf2AV681mvzTjR
Serbian,,2018,Sanja Ilić & Balkanika,Serbia,,Nova deca,7i4FrliOhykU6yxoue8Y9e
English,,2018,Jessika,San Marino,,Who We Are,0dew6JXEmJOo8nRbPp9M6Y
English,,2018,Rasmussen,Denmark,,Higher Ground,6SCl3S0IAbPX7cLE6LjEOt
English,,2018,Julia Samoylova,Russia,,I Won't Break,7K2nHcg1TvgLGW6NTupf3U
English,,2018,DoReDos,Moldova,,My Lucky Day,0ThWw4Mty8Sb0mzaXyFvt8
English,,2018,Waylon,Netherlands,,Outlaw in 'Em,1Ryw2NPudgM1SRGZx91RbL
English,,2018,Jessica Mauboy,Australia,,We Got Love,7kqujRWNEBhrpYt0eV0uw5
Georgian,,2018,Ethno - Jazz Band Iriao,Georgia,,For You,6qE0K1nD4YlXup3KCcP9Qw
English,,2018,Gromee,Poland,,Light Me Up,5GXNpvgo6UtLhe2wYBYWy1
English,,2018,Christabelle,Malta,,Taboo,0peNaLeCABe70ovtFgGENP
Hungarian,,2018,AWS,Hungary,,Viszlát nyár,5hC0zQNulh7R4R8pM6gCJ9
English,,2018,Laura Rizzotto,Latvia,,Funny Girl,04H79umZ9AxBj5MeTw6gAK
English,,2018,Benjamin Ingrosso,Sweden,,Dance You Off,0s3P5PImfDZYWIseR3b39D
Montenegrin,,2018,Vanja Radovanović,Montenegro,,Inje,4AQX7Nbg0ZuiA763Y6N8Uk
Slovene,,2018,Lea Sirk,Slovenia,,Hvala ne!,28J9JZ6boWgzviW7Ut3TMN
English,,2018,Mélovin,Ukraine,,Under the Ladder,0a4eEfoZEYCXte9Zk1r7YG
Portuguese,,2018,Cláudia Pascoal,Portugal,,O jardim,6PV9CN9a7wHYPQvlXqkWwM
French,,2018,Madame Monsieur,France,,Mercy,29eZ3b1mfZIwOMQMdRFNZ0
English,,2018,Michael Schulte,Germany,,You Let Me Walk Alone,1i31AKvYOI4b5FCU1cEHqU
Italian,,2018,Ermal Meta,Italy,,Non mi avete fatto niente,1oMYET9xQB8XpxwTt2c5Dz
Spanish,,2018,Amaia Romero,Spain,,Tu canción,3q9iB950c9F2VPpQCrYuBk
English,,2018,SuRie,United Kingdom,,Storm,5MpHIqC75MbPp1PFkljSFz
