Song,Country,id,Artist,Year,Language,Points,Rank
De vogels van Holland,Netherlands,,Jetty Paerl,1956,Dutch,,2
Das alte Karussell,Switzerland,1DOoZ2xuGQ8bwRijBc1CPE,Lys Assia,1956,German,,2
Messieurs les noyés de la Seine,Belgium,,Fud Leclerc,1956,French,,2
Im Wartesaal zum großen Glück,Germany,0AgEJVretpGgR19xND01Sy,Walter Andreas Schwarz,1956,German,,2
Le temps perdu,France,,Mathé Altéry,1956,French,,2
Ne crois pas,Luxembourg,6FvurqfNB7a0gETC77KPRO,Michèle Arnaud,1956,French,,2
Aprite le finestre,Italy,1Pck5jM9rA5pf8HgUufaTT,Franca Raimondi,1956,Italian,,2
Voorgoed voorbij,Netherlands,,Corry Brokken,1956,Dutch,,2
Refrain,Switzerland,09kE6H3sCYrt7jfXqU5zsq,Lys Assia,1956,French,,1
Le plus beau jour de ma vie,Belgium,,Mony Marc,1956,French,,2
So geht das jede Nacht,Germany,1XvhoD2ZHFRZkWTllVTBKP,Freddy Quinn,1956,German,,2
Il est là,France,,Dany Dauberson,1956,French,,2
Les amants de minuit,Luxembourg,5YfQzi2s0IWtiPIIiebqON,Michèle Arnaud,1956,French,,2
Amami se vuoi,Italy,3vidNbMldZ7WdwTFKOFYpG,Tonina Torrielli,1956,Italian,,2
Straatdeuntje,Belgium,1uDTs2Ly71VpsEalVrbojy,Bobbejaan Schoepen,1957,Dutch,5,8
Amours mortes (tant de peine),Luxembourg,,Danièle Dupré,1957,French,8,4
All,United Kingdom,,Patricia Bredin,1957,English,6,7
Corde della mia chitarra,Italy,2L540gOVojXG7qCxkBQUFn,Nunzio Gallo,1957,Italian,7,6
"Wohin, kleines Pony?",Austria,,Bob Martin,1957,German,3,10
Net als toen,Netherlands,3WXO5lS7YfcIwxGn81PI6h,Corry Brokken,1957,Dutch,31,1
"Telefon, Telefon",Germany,,Margot Hielscher,1957,German,8,4
La belle amour,France,,Paule Desjardins,1957,French,17,2
Skibet skal sejle i nat,Denmark,,Birthe Wilke & Gustav Winckler,1957,Danish,10,3
L'enfant que j'étais,Switzerland,,Lys Assia,1957,French,5,8
Nel blu dipinto di blu,Italy,5zyrEv4F3FaLECI8TOKpFM,Domenico Modugno,1958,Italian,13,3
Heel de wereld,Netherlands,6I0G0fiXZ81FgHTiXxPe2V,Corry Brokken,1958,Dutch,1,9
"Dors, mon amour",France,3kFXYCHBeJwYrwmpLYBdpT,André Claveau,1958,French,27,1
Un grand amour,Luxembourg,,Solange Berry,1958,French,1,9
Lilla stjärna,Sweden,,Alice Babs,1958,Swedish,10,4
Jeg rev et blad ud af min dagbog,Denmark,2nEHSK9YZ07207EcKEd0nv,Raquel Rastenni,1958,Danish,3,8
Ma petite chatte,Belgium,,Fud Leclerc,1958,French,8,5
Für zwei Groschen Musik,Germany,7gvmOfTwoeQsVsCyKWs6QG,Margot Hielscher,1958,German,5,7
Die ganze Welt braucht Liebe,Austria,,Liane Augustin,1958,German,8,5
Giorgio,Switzerland,,Lys Assia,1958,"German, Italian",24,2
"Oui, oui, oui, oui",France,,Jean Philippe,1959,French,15,3
"Uh, jeg ville ønske jeg var dig",Denmark,3ULgnjAYo3Eo8EY0wFmlZs,Birthe Wilke,1959,Danish,12,5
"Piove (Ciao, ciao bambina)",Italy,4BFReH3RNbXb26vFZwmfta,Domenico Modugno,1959,Italian,9,6
Mon ami Pierrot,Monaco,,Jacques Pills,1959,French,1,11
Een beetje,Netherlands,4VnVRmwdCqHMF4mqTZ5j2I,Teddy Scholten,1959,Dutch,21,1
Heute Abend wollen wir tanzen geh'n,Germany,,Alice & Ellen Kessler,1959,German,5,8
Augustin,Sweden,,Brita Borg,1959,Swedish,4,9
Irgendwoher,Switzerland,,Christa Williams,1959,German,14,4
Der K und K Kalypso aus Wien,Austria,,Ferry Graf,1959,German,4,9
"Sing, Little Birdie",United Kingdom,,Pearl Carr & Teddy Johnson,1959,English,16,2
Hou toch van mij,Belgium,,Bob Benny,1959,Dutch,9,6
"Looking High, High, High",United Kingdom,,Bryan Johnson,1960,English,25,2
Alla andra får varann,Sweden,,Siw Malmkvist,1960,Swedish,4,10
So laang we's du do bast,Luxembourg,,Camillo Felgen,1960,Luxembourgish,1,13
Det var en yndig tid,Denmark,,Katy Bødtger,1960,Danish,4,10
Mon amour pour toi,Belgium,,Fud Leclerc,1960,French,9,6
Voi Voi1,Norway,,Nora Brockstedt,1960,Norwegian,11,4
Du hast mich so fasziniert,Austria,,Harry Winter,1960,German,6,7
Ce soir-là,Monaco,6C2fx08Snj39zham5oEOG8,François Deguelt,1960,French,15,3
Cielo e terra,Switzerland,,Anita Traversi,1960,Italian,5,8
Wat een geluk,Netherlands,1LTkwKpE68ueReVGjN2Zbs,Rudi Carrell,1960,Dutch,2,12
Bonne nuit ma chérie,Germany,,Wyn Hoop,1960,"German, French",11,4
Romantica,Italy,4ymRtBxaKfSJwmcaT1tKjG,Renato Rascel,1960,Italian,5,8
Tom Pillibi,France,3fZIQ0sdsy7u7YDmOpqbxS,Jacqueline Boyer,1960,French,32,1
Estando contigo,Spain,3buIgsA61cLWroquKAYyuM,Conchita Bautista,1961,Spanish,8,9
"Allons, allons les enfants",Monaco,,Colette Deréal,1961,French,6,10
Sehnsucht,Austria,,Jimmy Makulis,1961,German,1,15
Valoa ikkunassa,Finland,3jsqRFCFZwHYi5BPlTqxWU,Laila Kinnunen,1961,Finnish,6,10
Neke davne zvezde (Неке давне звезде),Yugoslavia,,Ljiljana Petrović,1961,Serbian,9,8
Wat een dag,Netherlands,,Greetje Kauffeld,1961,Dutch,6,10
"April, april",Sweden,,Lill-Babs,1961,Swedish,2,14
Einmal sehen wir uns wieder,Germany,,Lale Andersen,1961,"German, French",3,13
"Printemps, avril carillonne",France,,Jean-Paul Mauric,1961,French,13,4
Nous aurons demain,Switzerland,,Franca di Rienzo,1961,French,16,3
"September, gouden roos",Belgium,,Bob Benny,1961,Dutch,1,15
Sommer i Palma,Norway,2kjG6EiMlVcKJ0e5XPVWZi,Nora Brockstedt,1961,Norwegian,10,7
Angelique,Denmark,5GFTG3ictTAnX1JHwLieMO,Dario Campeotto,1961,Danish,12,5
Nous les amoureux,Luxembourg,35PWl4T8d2U3a5AboajXXw,Jean-Claude Pascal,1961,French,31,1
Are You Sure?,United Kingdom,,The Allisons,1961,English,24,2
Al di là,Italy,,Betty Curtis,1961,Italian,12,5
Tipi-tii,Finland,,Marion Rung,1962,Finnish,4,7
Ton nom,Belgium,,Fud Leclerc,1962,French,0,13
Llámame,Spain,,Victor Balaguer,1962,Spanish,0,13
Nur in der Wiener Luft,Austria,,Eleonore Schwarz,1962,German,0,13
Vuggevise,Denmark,,Ellen Winther,1962,Danish,2,10
Sol och vår,Sweden,,Inger Berggren,1962,Swedish,4,7
Zwei kleine Italiener,Germany,,Conny Froboess,1962,German,9,6
Katinka,Netherlands,,De Spelbrekers,1962,Dutch,0,13
Un premier amour,France,,Isabelle Aubret,1962,French,26,1
"Kom sol, kom regn",Norway,,Inger Jacobsen,1962,Norwegian,2,10
Le retour,Switzerland,,Jean Philippe,1962,French,2,10
Ne pali svetla u sumrak (Не пали светла у сумрак),Yugoslavia,,Lola Novaković,1962,Serbian,10,4
Ring-A-Ding Girl,United Kingdom,,Ronnie Carroll,1962,English,10,4
Petit bonhomme,Luxembourg,,Camillo Felgen,1962,French,11,3
"Addio, addio",Italy,,Claudio Villa,1962,Italian,3,9
Dis rien,Monaco,,François Deguelt,1962,French,13,2
Say Wonderful Things,United Kingdom,,Ronnie Carroll,1963,English,28,4
Een speeldoos,Netherlands,,Annie Palmen,1963,Dutch,0,13
Marcel,Germany,,Heidi Brühl,1963,German,5,9
Vielleicht geschieht ein Wunder,Austria,,Carmela Corren,1963,"German, English",16,7
Solhverv,Norway,,Anita Thallaug,1963,Norwegian,0,13
Uno per tutte,Italy,,Emilio Pericoli,1963,Italian,37,3
Muistojeni laulu,Finland,,Laila Halme,1963,Finnish,0,13
Dansevise,Denmark,,Grethe & Jørgen Ingmann,1963,Danish,42,1
Brodovi,Yugoslavia,,Vice Vukov,1963,Croatian,3,11
T'en va pas,Switzerland,,Esther Ofarim,1963,French,40,2
Elle était si jolie,France,7CvxBFRY5ta6miD7BOXJsO,Alain Barrière,1963,French,25,5
Algo prodigioso,Spain,08lZvHPOvP3MsGpxZlZ9Up,José Guardiola,1963,Spanish,2,12
